Fecha,cod_ine,CCAA,Casos,Hospitalizados,UCI,Fallecidos,Recuperados
2020-02-20,1,Andalucía,,,,,
2020-02-20,2,Aragón,,,,,
2020-02-20,3,Asturias,,,,,
2020-02-20,4,Baleares,1,,,,
2020-02-20,5,Canarias,1,,,,
2020-02-20,6,Cantabria,,,,,
2020-02-20,8,Castilla La Mancha,,,,,
2020-02-20,7,Castilla y León,0,,,,
2020-02-20,9,Cataluña,,,,,
2020-02-20,18,Ceuta,,,,,
2020-02-20,10,C. Valenciana,,,,,
2020-02-20,11,Extremadura,,,,,
2020-02-20,12,Galicia,,,,,
2020-02-20,13,Madrid,,,,,
2020-02-20,19,Melilla,,,,,
2020-02-20,14,Murcia,,,,,
2020-02-20,15,Navarra,,,,,
2020-02-20,16,País Vasco,,,,,
2020-02-20,17,La Rioja,,,,,
2020-02-21,1,Andalucía,,,,,
2020-02-21,2,Aragón,,,,,
2020-02-21,3,Asturias,,,,,
2020-02-21,4,Baleares,1,,,,
2020-02-21,5,Canarias,1,,,,
2020-02-21,6,Cantabria,,,,,
2020-02-21,8,Castilla La Mancha,,,,,
2020-02-21,7,Castilla y León,0,,,,
2020-02-21,9,Cataluña,,,,,
2020-02-21,18,Ceuta,,,,,
2020-02-21,10,C. Valenciana,,,,,
2020-02-21,11,Extremadura,,,,,
2020-02-21,12,Galicia,,,,,
2020-02-21,13,Madrid,,,,,
2020-02-21,19,Melilla,,,,,
2020-02-21,14,Murcia,,,,,
2020-02-21,15,Navarra,,,,,
2020-02-21,16,País Vasco,,,,,
2020-02-21,17,La Rioja,,,,,
2020-02-22,1,Andalucía,,,,,
2020-02-22,2,Aragón,,,,,
2020-02-22,3,Asturias,,,,,
2020-02-22,4,Baleares,1,,,,
2020-02-22,5,Canarias,1,,,,
2020-02-22,6,Cantabria,,,,,
2020-02-22,8,Castilla La Mancha,,,,,
2020-02-22,7,Castilla y León,0,,,,
2020-02-22,9,Cataluña,,,,,
2020-02-22,18,Ceuta,,,,,
2020-02-22,10,C. Valenciana,,,,,
2020-02-22,11,Extremadura,,,,,
2020-02-22,12,Galicia,,,,,
2020-02-22,13,Madrid,,,,,
2020-02-22,19,Melilla,,,,,
2020-02-22,14,Murcia,,,,,
2020-02-22,15,Navarra,,,,,
2020-02-22,16,País Vasco,,,,,
2020-02-22,17,La Rioja,,,,,
2020-02-23,1,Andalucía,,,,,
2020-02-23,2,Aragón,,,,,
2020-02-23,3,Asturias,,,,,
2020-02-23,4,Baleares,1,,,,
2020-02-23,5,Canarias,1,,,,
2020-02-23,6,Cantabria,,,,,
2020-02-23,8,Castilla La Mancha,,,,,
2020-02-23,7,Castilla y León,0,,,,
2020-02-23,9,Cataluña,,,,,
2020-02-23,18,Ceuta,,,,,
2020-02-23,10,C. Valenciana,,,,,
2020-02-23,11,Extremadura,,,,,
2020-02-23,12,Galicia,,,,,
2020-02-23,13,Madrid,,,,,
2020-02-23,19,Melilla,,,,,
2020-02-23,14,Murcia,,,,,
2020-02-23,15,Navarra,,,,,
2020-02-23,16,País Vasco,,,,,
2020-02-23,17,La Rioja,,,,,
2020-02-24,1,Andalucía,,,,,
2020-02-24,2,Aragón,,,,,
2020-02-24,3,Asturias,,,,,
2020-02-24,4,Baleares,1,,,,
2020-02-24,5,Canarias,2,,,,
2020-02-24,6,Cantabria,,,,,
2020-02-24,8,Castilla La Mancha,,,,,
2020-02-24,7,Castilla y León,0,,,,
2020-02-24,9,Cataluña,,,,,
2020-02-24,18,Ceuta,,,,,
2020-02-24,10,C. Valenciana,,,,,
2020-02-24,11,Extremadura,,,,,
2020-02-24,12,Galicia,,,,,
2020-02-24,13,Madrid,,,,,
2020-02-24,19,Melilla,,,,,
2020-02-24,14,Murcia,,,,,
2020-02-24,15,Navarra,,,,,
2020-02-24,16,País Vasco,,,,,
2020-02-24,17,La Rioja,,,,,
2020-02-25,1,Andalucía,,,,,
2020-02-25,2,Aragón,,,,,
2020-02-25,3,Asturias,,,,,
2020-02-25,4,Baleares,1,,,,
2020-02-25,5,Canarias,5,,,,
2020-02-25,6,Cantabria,,,,,
2020-02-25,8,Castilla La Mancha,,,,,
2020-02-25,7,Castilla y León,0,,,,
2020-02-25,9,Cataluña,1,,,,
2020-02-25,18,Ceuta,,,,,
2020-02-25,10,C. Valenciana,1,,,,
2020-02-25,11,Extremadura,,,,,
2020-02-25,12,Galicia,,,,,
2020-02-25,13,Madrid,2,,,,
2020-02-25,19,Melilla,,,,,
2020-02-25,14,Murcia,,,,,
2020-02-25,15,Navarra,,,,,
2020-02-25,16,País Vasco,,,,,
2020-02-25,17,La Rioja,,,,,
2020-02-26,1,Andalucía,1,,,,
2020-02-26,2,Aragón,,,,,
2020-02-26,3,Asturias,,,,,
2020-02-26,4,Baleares,1,,,,
2020-02-26,5,Canarias,6,,,,
2020-02-26,6,Cantabria,,,,,
2020-02-26,8,Castilla La Mancha,,,,,
2020-02-26,7,Castilla y León,0,,,,
2020-02-26,9,Cataluña,2,,,,
2020-02-26,18,Ceuta,,,,,
2020-02-26,10,C. Valenciana,2,,,,
2020-02-26,11,Extremadura,,,,,
2020-02-26,12,Galicia,,,,,
2020-02-26,13,Madrid,4,,,,
2020-02-26,19,Melilla,,,,,
2020-02-26,14,Murcia,,,,,
2020-02-26,15,Navarra,,,,,
2020-02-26,16,País Vasco,,,,,
2020-02-26,17,La Rioja,,,,,
2020-02-27,1,Andalucía,6,,,,
2020-02-27,2,Aragón,,,,,
2020-02-27,3,Asturias,,,,,
2020-02-27,4,Baleares,1,,,,
2020-02-27,5,Canarias,6,,,,
2020-02-27,6,Cantabria,,,,,
2020-02-27,8,Castilla La Mancha,,,,,
2020-02-27,7,Castilla y León,0,,,,
2020-02-27,9,Cataluña,3,,,,
2020-02-27,18,Ceuta,,,,,
2020-02-27,10,C. Valenciana,8,,,,
2020-02-27,11,Extremadura,,,,,
2020-02-27,12,Galicia,,,,,
2020-02-27,13,Madrid,5,,,,
2020-02-27,19,Melilla,,,,,
2020-02-27,14,Murcia,,,,,
2020-02-27,15,Navarra,,,,,
2020-02-27,16,País Vasco,,,,,
2020-02-27,17,La Rioja,,,,,
2020-02-28,1,Andalucía,8,,,,
2020-02-28,2,Aragón,,,,,
2020-02-28,3,Asturias,,,,,
2020-02-28,4,Baleares,2,,,,
2020-02-28,5,Canarias,6,,,,
2020-02-28,6,Cantabria,,,,,
2020-02-28,8,Castilla La Mancha,,,,,
2020-02-28,7,Castilla y León,2,,,,
2020-02-28,9,Cataluña,5,,,,
2020-02-28,18,Ceuta,,,,,
2020-02-28,10,C. Valenciana,10,,,,
2020-02-28,11,Extremadura,,,,,
2020-02-28,12,Galicia,,,,,
2020-02-28,13,Madrid,8,,,,
2020-02-28,19,Melilla,,,,,
2020-02-28,14,Murcia,,,,,
2020-02-28,15,Navarra,,,,,
2020-02-28,16,País Vasco,2,,,,
2020-02-28,17,La Rioja,,,,,
2020-02-29,1,Andalucía,12,,,,
2020-02-29,2,Aragón,,,,,
2020-02-29,3,Asturias,1,,,,
2020-02-29,4,Baleares,2,,,,
2020-02-29,5,Canarias,7,,,,
2020-02-29,6,Cantabria,1,,,,
2020-02-29,8,Castilla La Mancha,1,,,,
2020-02-29,7,Castilla y León,2,,,,
2020-02-29,9,Cataluña,6,,,,
2020-02-29,18,Ceuta,,,,,
2020-02-29,10,C. Valenciana,15,,,,
2020-02-29,11,Extremadura,4,,,,
2020-02-29,12,Galicia,,,,,
2020-02-29,13,Madrid,10,,,,
2020-02-29,19,Melilla,,,,,
2020-02-29,14,Murcia,,,,,
2020-02-29,15,Navarra,1,,,,
2020-02-29,16,País Vasco,3,,,,
2020-02-29,17,La Rioja,,,,,
2020-03-01,1,Andalucía,12,,,,
2020-03-01,2,Aragón,,,,,
2020-03-01,3,Asturias,1,,,,
2020-03-01,4,Baleares,2,,,,
2020-03-01,5,Canarias,7,,,,
2020-03-01,6,Cantabria,10,,,,
2020-03-01,8,Castilla La Mancha,3,,,,
2020-03-01,7,Castilla y León,2,,,,
2020-03-01,9,Cataluña,15,,,,
2020-03-01,18,Ceuta,,,,,
2020-03-01,10,C. Valenciana,15,,,,
2020-03-01,11,Extremadura,6,,,,
2020-03-01,12,Galicia,,,,,
2020-03-01,13,Madrid,29,,,,
2020-03-01,19,Melilla,,,,,
2020-03-01,14,Murcia,,,,,
2020-03-01,15,Navarra,1,,,,
2020-03-01,16,País Vasco,9,,,,
2020-03-01,17,La Rioja,1,,,,
2020-03-02,1,Andalucía,12,,,,
2020-03-02,2,Aragón,0,,,,
2020-03-02,3,Asturias,1,,,,
2020-03-02,4,Baleares,2,,,,
2020-03-02,5,Canarias,7,,,,
2020-03-02,6,Cantabria,10,,,,
2020-03-02,8,Castilla La Mancha,7,,,,
2020-03-02,7,Castilla y León,7,,,,
2020-03-02,9,Cataluña,15,,,,
2020-03-02,18,Ceuta,0,,,,
2020-03-02,10,C. Valenciana,15,,,,
2020-03-02,11,Extremadura,6,,,,
2020-03-02,12,Galicia,0,,,,
2020-03-02,13,Madrid,49,,,,
2020-03-02,19,Melilla,0,,,,
2020-03-02,14,Murcia,0,,,,
2020-03-02,15,Navarra,1,,,,
2020-03-02,16,País Vasco,13,,,,
2020-03-02,17,La Rioja,3,,,,
2020-03-03,1,Andalucía,12,,,,
2020-03-03,2,Aragón,0,,,,
2020-03-03,3,Asturias,2,,,,
2020-03-03,4,Baleares,5,,,,
2020-03-03,5,Canarias,7,,,,
2020-03-03,6,Cantabria,10,,,,
2020-03-03,8,Castilla La Mancha,12,,,,
2020-03-03,7,Castilla y León,8,,,,
2020-03-03,9,Cataluña,15,,,,
2020-03-03,18,Ceuta,0,,,,
2020-03-03,10,C. Valenciana,19,,,,
2020-03-03,11,Extremadura,6,,,,
2020-03-03,12,Galicia,1,,,,
2020-03-03,13,Madrid,70,,,,
2020-03-03,19,Melilla,0,,,,
2020-03-03,14,Murcia,0,,,,
2020-03-03,15,Navarra,3,,,,
2020-03-03,16,País Vasco,17,,,,
2020-03-03,17,La Rioja,7,,,,
2020-03-04,1,Andalucía,12,,,,
2020-03-04,2,Aragón,1,,,,
2020-03-04,3,Asturias,5,,,,
2020-03-04,4,Baleares,6,,,,
2020-03-04,5,Canarias,8,,,,
2020-03-04,6,Cantabria,10,,,,
2020-03-04,8,Castilla La Mancha,13,,,,
2020-03-04,7,Castilla y León,12,,,,
2020-03-04,9,Cataluña,24,,,,
2020-03-04,18,Ceuta,0,,,,
2020-03-04,10,C. Valenciana,19,,,,
2020-03-04,11,Extremadura,6,,,,
2020-03-04,12,Galicia,1,,,,
2020-03-04,13,Madrid,90,,,,
2020-03-04,19,Melilla,0,,,,
2020-03-04,14,Murcia,0,,,,
2020-03-04,15,Navarra,3,,,,
2020-03-04,16,País Vasco,17,,,,
2020-03-04,17,La Rioja,11,,,,
2020-03-05,1,Andalucía,21,,,,
2020-03-05,2,Aragón,6,,,,
2020-03-05,3,Asturias,5,,,,
2020-03-05,4,Baleares,6,,,,
2020-03-05,5,Canarias,11,,,,
2020-03-05,6,Cantabria,10,,,,
2020-03-05,8,Castilla La Mancha,15,,,,
2020-03-05,7,Castilla y León,13,,,,
2020-03-05,9,Cataluña,24,,,,
2020-03-05,18,Ceuta,0,,,,
2020-03-05,10,C. Valenciana,30,,,,
2020-03-05,11,Extremadura,6,,,,
2020-03-05,12,Galicia,3,,,,
2020-03-05,13,Madrid,137,,,,
2020-03-05,19,Melilla,0,,,,
2020-03-05,14,Murcia,0,,,,
2020-03-05,15,Navarra,3,,,,
2020-03-05,16,País Vasco,45,,,,
2020-03-05,17,La Rioja,29,,,,
2020-03-06,1,Andalucía,27,,,,
2020-03-06,2,Aragón,11,,,,
2020-03-06,3,Asturias,5,,,,
2020-03-06,4,Baleares,6,,,,
2020-03-06,5,Canarias,11,,,,
2020-03-06,6,Cantabria,10,,,,
2020-03-06,8,Castilla La Mancha,15,,,,
2020-03-06,7,Castilla y León,14,,,,
2020-03-06,9,Cataluña,24,,,,
2020-03-06,18,Ceuta,0,,,,
2020-03-06,10,C. Valenciana,30,,,,
2020-03-06,11,Extremadura,6,,,,
2020-03-06,12,Galicia,3,,,,
2020-03-06,13,Madrid,137,,,,
2020-03-06,19,Melilla,0,,,,
2020-03-06,14,Murcia,0,,,,
2020-03-06,15,Navarra,3,,,,
2020-03-06,16,País Vasco,45,,,,
2020-03-06,17,La Rioja,39,,,,
2020-03-07,1,Andalucía,34,,,,
2020-03-07,2,Aragón,11,,,,
2020-03-07,3,Asturias,7,,,,
2020-03-07,4,Baleares,8,,,,
2020-03-07,5,Canarias,17,,,,
2020-03-07,6,Cantabria,12,,,,
2020-03-07,8,Castilla La Mancha,15,,,,
2020-03-07,7,Castilla y León,21,,,,
2020-03-07,9,Cataluña,49,,,,
2020-03-07,18,Ceuta,0,,,,
2020-03-07,10,C. Valenciana,37,,,,
2020-03-07,11,Extremadura,6,,,,
2020-03-07,12,Galicia,5,,,,
2020-03-07,13,Madrid,175,,,,
2020-03-07,19,Melilla,0,,,,
2020-03-07,14,Murcia,1,,,,
2020-03-07,15,Navarra,3,,,,
2020-03-07,16,País Vasco,70,,,,
2020-03-07,17,La Rioja,55,,,,
2020-03-08,1,Andalucía,54,,1,0,11
2020-03-08,2,Aragón,13,,3,3,
2020-03-08,3,Asturias,7,,2,0,
2020-03-08,4,Baleares,11,,1,0,2
2020-03-08,5,Canarias,22,,0,0,4
2020-03-08,6,Cantabria,12,,0,0,
2020-03-08,8,Castilla La Mancha,26,,2,0,2
2020-03-08,7,Castilla y León,30,,2,0,
2020-03-08,9,Cataluña,75,,0,2,
2020-03-08,18,Ceuta,0,,0,0,
2020-03-08,10,C. Valenciana,37,,1,1,1
2020-03-08,11,Extremadura,7,,0,0,1
2020-03-08,12,Galicia,6,,2,0,
2020-03-08,13,Madrid,469,,53,16,
2020-03-08,19,Melilla,0,,0,0,
2020-03-08,14,Murcia,4,,0,0,
2020-03-08,15,Navarra,3,,1,0,
2020-03-08,16,País Vasco,149,,5,6,2
2020-03-08,17,La Rioja,81,,1,0,
2020-03-09,1,Andalucía,71,,1,0,11
2020-03-09,2,Aragón,38,,3,4,0
2020-03-09,3,Asturias,22,,2,0,1
2020-03-09,4,Baleares,13,,1,0,3
2020-03-09,5,Canarias,25,,1,0,5
2020-03-09,6,Cantabria,12,,0,0,
2020-03-09,8,Castilla La Mancha,39,,3,0,2
2020-03-09,7,Castilla y León,40,,2,0,
2020-03-09,9,Cataluña,124,,0,3,
2020-03-09,18,Ceuta,,,0,0,
2020-03-09,10,C. Valenciana,50,,1,1,1
2020-03-09,11,Extremadura,8,,0,0,1
2020-03-09,12,Galicia,22,,2,0,
2020-03-09,13,Madrid,782,,77,21,109
2020-03-09,19,Melilla,,,0,0,
2020-03-09,14,Murcia,9,,0,0,
2020-03-09,15,Navarra,12,,2,0,
2020-03-09,16,País Vasco,195,,5,6,2
2020-03-09,17,La Rioja,144,,1,1,
2020-03-10,1,Andalucía,90,32,3,0,11
2020-03-10,2,Aragón,45,22,3,4,0
2020-03-10,3,Asturias,32,12,2,0,1
2020-03-10,4,Baleares,16,8,1,0,1
2020-03-10,5,Canarias,37,10,1,0,5
2020-03-10,6,Cantabria,12,0,0,0,0
2020-03-10,8,Castilla La Mancha,71,0,5,0,2
2020-03-10,7,Castilla y León,64,14,2,0,0
2020-03-10,9,Cataluña,156,0,0,3,0
2020-03-10,18,Ceuta,0,0,0,0,0
2020-03-10,10,C. Valenciana,65,0,1,1,1
2020-03-10,11,Extremadura,9,2,1,1,1
2020-03-10,12,Galicia,35,7,2,0,0
2020-03-10,13,Madrid,1024,0,102,31,157
2020-03-10,19,Melilla,0,0,0,0,0
2020-03-10,14,Murcia,11,4,0,0,0
2020-03-10,15,Navarra,46,10,3,0,0
2020-03-10,16,País Vasco,225,102,15,6,2
2020-03-10,17,La Rioja,179,13,1,2,1
2020-03-11,1,Andalucía,115,50,4,0,11
2020-03-11,2,Aragón,64,28,3,6,0
2020-03-11,3,Asturias,47,12,2,1,1
2020-03-11,4,Baleares,22,8,2,1,1
2020-03-11,5,Canarias,51,15,3,0,5
2020-03-11,6,Cantabria,16,3,0,0,6
2020-03-11,8,Castilla La Mancha,115,39,9,1,2
2020-03-11,7,Castilla y León,71,24,2,0,0
2020-03-11,9,Cataluña,260,0,0,4,0
2020-03-11,18,Ceuta,0,0,0,0,0
2020-03-11,10,C. Valenciana,76,22,2,1,1
2020-03-11,11,Extremadura,19,2,1,1,3
2020-03-11,12,Galicia,35,7,2,0,0
2020-03-11,13,Madrid,1388,0,135,56,157
2020-03-11,19,Melilla,0,0,0,0,0
2020-03-11,14,Murcia,26,5,1,0,0
2020-03-11,15,Navarra,73,17,3,0,0
2020-03-11,16,País Vasco,346,146,18,11,1
2020-03-11,17,La Rioja,205,21,1,2,1
2020-03-12,1,Andalucía,219,92,8,0,0
2020-03-12,2,Aragón,80,30,3,7,0
2020-03-12,3,Asturias,67,16,2,1,1
2020-03-12,4,Baleares,28,9,2,1,1
2020-03-12,5,Canarias,70,15,3,0,5
2020-03-12,6,Cantabria,29,3,0,0,7
2020-03-12,8,Castilla La Mancha,194,78,10,5,1
2020-03-12,7,Castilla y León,92,25,4,0,1
2020-03-12,9,Cataluña,316,0,25,6,0
2020-03-12,18,Ceuta,0,0,0,0,0
2020-03-12,10,C. Valenciana,94,23,2,1,2
2020-03-12,11,Extremadura,39,3,1,1,3
2020-03-12,12,Galicia,85,15,2,0,0
2020-03-12,13,Madrid,1990,1304,180,81,157
2020-03-12,19,Melilla,2,3,0,0,0
2020-03-12,14,Murcia,35,8,2,0,0
2020-03-12,15,Navarra,130,28,4,0,0
2020-03-12,16,País Vasco,417,179,20,14,2
2020-03-12,17,La Rioja,243,27,2,3,1
2020-03-13,1,Andalucía,269,92,8,2,0
2020-03-13,2,Aragón,121,42,5,7,0
2020-03-13,3,Asturias,92,16,2,1,1
2020-03-13,4,Baleares,28,9,2,1,1
2020-03-13,5,Canarias,90,15,6,1,7
2020-03-13,6,Cantabria,31,3,0,0,7
2020-03-13,8,Castilla La Mancha,289,78,10,6,5
2020-03-13,7,Castilla y León,169,25,8,1,2
2020-03-13,9,Cataluña,509,0,33,6,0
2020-03-13,18,Ceuta,0,0,0,0,0
2020-03-13,10,C. Valenciana,130,31,4,4,2
2020-03-13,11,Extremadura,66,3,1,2,4
2020-03-13,12,Galicia,115,32,7,0,3
2020-03-13,13,Madrid,2940,1518,180,86,474
2020-03-13,19,Melilla,3,3,0,0,0
2020-03-13,14,Murcia,47,8,2,0,0
2020-03-13,15,Navarra,146,28,4,0,0
2020-03-13,16,País Vasco,521,179,22,14,5
2020-03-13,17,La Rioja,278,38,2,3,1
2020-03-14,1,Andalucía,437,92,8,6,0
2020-03-14,2,Aragón,147,59,5,7,0
2020-03-14,3,Asturias,137,16,3,1,1
2020-03-14,4,Baleares,42,9,2,1,1
2020-03-14,5,Canarias,109,15,6,1,7
2020-03-14,6,Cantabria,51,3,0,0,10
2020-03-14,8,Castilla La Mancha,401,78,10,10,5
2020-03-14,7,Castilla y León,223,45,8,3,3
2020-03-14,9,Cataluña,715,0,33,8,0
2020-03-14,18,Ceuta,1,0,0,0,0
2020-03-14,10,C. Valenciana,409,31,4,5,2
2020-03-14,11,Extremadura,95,8,1,2,4
2020-03-14,12,Galicia,195,32,8,2,4
2020-03-14,13,Madrid,3544,2337,253,213,474
2020-03-14,19,Melilla,8,4,0,0,0
2020-03-14,14,Murcia,71,13,2,0,0
2020-03-14,15,Navarra,183,34,4,0,0
2020-03-14,16,País Vasco,630,262,29,23,5
2020-03-14,17,La Rioja,300,58,7,3,1
2020-03-15,1,Andalucía,554,197,11,7,0
2020-03-15,2,Aragón,174,64,7,11,0
2020-03-15,3,Asturias,177,16,3,1,3
2020-03-15,4,Baleares,73,21,4,1,1
2020-03-15,5,Canarias,119,40,9,1,7
2020-03-15,6,Cantabria,58,18,2,0,10
2020-03-15,8,Castilla La Mancha,567,207,23,17,12
2020-03-15,7,Castilla y León,292,45,8,6,5
2020-03-15,9,Cataluña,903,0,33,12,0
2020-03-15,18,Ceuta,1,0,0,0,0
2020-03-15,10,C. Valenciana,409,31,4,5,2
2020-03-15,11,Extremadura,111,9,1,2,4
2020-03-15,12,Galicia,245,49,9,2,4
2020-03-15,13,Madrid,4165,2337,253,213,474
2020-03-15,19,Melilla,8,4,0,0,0
2020-03-15,14,Murcia,77,13,2,0,1
2020-03-15,15,Navarra,274,58,5,1,0
2020-03-15,16,País Vasco,630,262,29,23,5
2020-03-15,17,La Rioja,312,64,13,4,2
2020-03-16,1,Andalucía,683,229,13,11,0
2020-03-16,2,Aragón,207,74,9,12,0
2020-03-16,3,Asturias,193,34,5,1,3
2020-03-16,4,Baleares,92,26,4,1,1
2020-03-16,5,Canarias,148,56,13,2,8
2020-03-16,6,Cantabria,58,18,2,0,10
2020-03-16,8,Castilla La Mancha,567,207,23,17,12
2020-03-16,7,Castilla y León,431,95,24,12,5
2020-03-16,9,Cataluña,1394,0,33,18,0
2020-03-16,18,Ceuta,1,0,0,0,0
2020-03-16,10,C. Valenciana,541,135,27,13,12
2020-03-16,11,Extremadura,153,18,2,3,5
2020-03-16,12,Galicia,292,49,9,3,7
2020-03-16,13,Madrid,4871,3710,340,355,951
2020-03-16,19,Melilla,17,4,0,0,0
2020-03-16,14,Murcia,97,18,3,0,1
2020-03-16,15,Navarra,313,72,10,2,0
2020-03-16,16,País Vasco,765,309,33,36,11
2020-03-16,17,La Rioja,355,82,13,5,2
2020-03-17,1,Andalucía,859,319,21,19,38
2020-03-17,2,Aragón,226,81,9,13,0
2020-03-17,3,Asturias,242,45,5,1,4
2020-03-17,4,Baleares,112,29,4,1,4
2020-03-17,5,Canarias,181,73,17,3,8
2020-03-17,6,Cantabria,68,25,3,1,10
2020-03-17,8,Castilla La Mancha,675,277,29,28,15
2020-03-17,7,Castilla y León,668,219,43,22,5
2020-03-17,9,Cataluña,1866,0,33,41,0
2020-03-17,18,Ceuta,1,0,0,0,0
2020-03-17,10,C. Valenciana,726,252,40,22,16
2020-03-17,11,Extremadura,194,27,3,6,6
2020-03-17,12,Galicia,341,63,12,3,7
2020-03-17,13,Madrid,5637,3778,491,390,951
